Computer Time,Time,Touched ID,S
1714488008077841,62.57961783439433,"(11, 20)",2
1714488008157115,62.65923566878923,"(11, 20)",2
1714488008236787,62.73885350318413,"(11, 20)",2
1714488008316167,62.818471337579034,"(11, 20)",2
1714488008395539,62.898089171973936,"(11, 20)",2
1714488008475270,62.97770700636884,"(11, 20)",2
1714488008560693,63.05732484076374,"(11, 20)",2
1714488008640247,63.13694267515864,"(11, 20)",2
1714488008719267,63.216560509553545,"(11, 20)",2
1714488008789746,63.29617834394845,"(11, 20)",2
1714488008873906,63.37579617834335,"(11, 20)",2
1714488008953017,63.45541401273825,"(11, 20)",2
1714488009029853,63.535031847133155,"(11, 20)",2
1714488009109353,63.61464968152806,"(11, 20)",2
1714488009188918,63.69426751592296,"(11, 20)",2
1714488009268169,63.77388535031786,"(11, 20)",2
1714488009347642,63.853503184712764,"(11, 20)",2
1714488009432244,63.933121019107666,"(11, 20)",2
1714488009514080,64.01273885350257,"(11, 20)",2
1714488009588112,64.09235668789748,"(11, 20)",2
1714488009671250,64.17197452229239,"(11, 20)",2
1714488009751066,64.2515923566873,"(11, 20)",2
1714488009830956,64.3312101910822,"(11, 20)",2
1714488009904920,64.41082802547712,"(11, 20)",2
1714488009984920,64.49044585987203,"(11, 20)",2
1714488010067065,64.57006369426693,"(11, 20)",2
1714488010149236,64.64968152866184,"(11, 20)",2
1714488010228573,64.72929936305675,"(11, 20)",2
1714488010304039,64.80891719745166,"(11, 20)",2
1714488010383379,64.88853503184657,"(11, 20)",2
1714488010462799,64.96815286624148,"(11, 20)",2
1714488010542353,65.04777070063639,"(11, 20)",2
1714488010626198,65.1273885350313,"(11, 20)",2
1714488010698355,65.20700636942621,"(11, 20)",2
1714488010781944,65.28662420382112,"(11, 20)",2
1714488010861163,65.36624203821603,"(11, 20)",2
1714488010937050,65.44585987261094,"(11, 20)",2
1714488011018272,65.52547770700585,"(11, 20)",2
1714488011102561,65.60509554140076,"(11, 20)",2
1714488011177461,65.68471337579567,"(11, 20)",2
1714488011256855,65.76433121019058,"(11, 20)",2
1714488011336372,65.84394904458549,"(11, 20)",2
1714488011415578,65.9235668789804,"(11, 20)",2
1714488011495161,66.0031847133753,"(11, 20)",2
1714488011574718,66.08280254777021,"(11, 20)",2
1714488011653956,66.16242038216512,"(11, 20)",2
1714488011738295,66.24203821656003,"(11, 20)",2
1714488011817552,66.32165605095494,"(11, 20)",2
1714488011890278,66.40127388534985,"(11, 20)",2
