Computer Time (ms),touch_row,touch_col,type
116076,9,3,2
116155,10,3,2
116235,9,3,2
116316,9,3,2
116389,8,3,2
116473,8,2,2
116632,8,1,2
116711,8,1,2
116791,7,0,2
116870,7,0,2
116950,7,1,2
117029,7,2,2
117108,7,2,2
117188,7,3,2
117269,7,4,2
117345,7,4,2
117424,6,5,2
117504,6,5,2
117583,6,5,2
117657,6,4,2
117747,6,3,2
117827,5,3,2
117906,5,2,2
117985,5,3,2
118060,5,3,2
118140,5,4,2
118219,4,4,2
118298,4,5,2
118378,4,5,2
118458,4,6,2
118537,4,6,2
118621,3,7,2
118701,3,7,2
118778,3,8,2
118934,2,9,2
119014,2,10,2
119093,2,10,2
119172,2,11,2
119252,2,11,2
119331,2,12,2
119411,2,13,2
119490,2,13,2
119570,2,14,2
119649,2,14,2
119729,2,15,2
119814,2,15,2
119893,2,15,2
119971,2,15,2
120045,2,14,2
120125,2,14,2
120211,2,13,2
120290,1,13,2
120370,1,12,2
120444,1,11,2
120523,1,11,2
120608,1,10,2
120687,1,10,2
120757,1,9,2
120843,1,8,2
120923,1,8,2
121002,1,7,2
121162,1,8,2
121319,1,9,2
121399,1,10,2
121482,1,10,2
121561,1,11,2
121635,1,11,2
121715,1,12,2
121794,1,13,2
121874,1,13,2
121953,1,14,2
122033,1,14,2
122112,1,15,2
122191,1,16,2
122271,1,16,2
122351,1,17,2
122430,1,17,2
122510,0,18,2
122668,0,19,2
122827,1,18,2
122907,1,17,2
122986,1,17,2
123066,1,16,2
123145,1,15,2
123225,1,15,2
123304,1,14,2
123384,1,14,2
123463,1,13,2
123542,1,12,2
123622,1,12,2
123701,1,11,2
123780,1,11,2
123860,1,10,2
123940,1,9,2
124020,1,9,2
124099,1,8,2
124178,1,8,2
124258,1,7,2
124337,1,6,2
124417,1,6,2
124500,1,7,2
124581,1,7,2
124655,1,8,2
124734,1,9,2
124813,1,9,2
124893,1,10,2
124974,1,10,2
125052,1,11,2
125131,1,12,2
125211,1,12,2
125291,2,13,2
125370,2,13,2
125449,2,14,2
125528,2,14,2
125608,2,14,2
125688,3,14,2
125772,4,13,2
125851,4,13,2
125922,4,13,2
126010,4,12,2
126090,4,11,2
126167,3,11,2
126241,3,10,2
126325,3,10,2
126405,4,9,2
126484,4,9,2
126564,4,8,2
126643,5,8,2
126723,5,7,2
126802,5,7,2
126882,6,6,2
126961,6,6,2
127040,5,6,2
127120,5,7,2
127202,5,7,2
127282,5,8,2
127360,4,8,2
127437,4,9,2
127515,4,9,2
127595,4,10,2
127674,3,10,2
127753,2,10,2
127833,2,10,2
127912,2,10,2
127992,1,9,2
128071,1,9,2
128151,1,10,2
128230,1,11,2
128310,1,11,2
128389,1,12,2
128468,1,12,2
128548,1,13,2
128627,1,13,2
128712,1,14,2
128790,1,14,2
128863,1,13,2
128947,1,12,2
129027,1,12,2
129106,1,11,2
129185,1,11,2
129265,1,10,2
129340,1,10,2
129427,1,9,2
129507,1,9,2
129582,2,8,2
129662,3,8,2
129744,3,7,2
129819,4,7,2
129899,4,7,2
129979,4,6,2
130058,4,6,2
130137,4,5,2
130222,4,5,2
130301,4,4,2
130376,4,3,2
130455,4,3,2
130534,4,2,2
130614,4,2,2
130694,4,1,2
130773,4,1,2
130852,4,0,2
130932,4,1,2
131011,4,1,2
131096,3,2,2
131250,2,3,2
131329,2,2,2
131573,3,1,2
131651,3,0,2
131731,3,0,2
131811,3,1,2
131885,2,2,2
131965,2,2,2
132044,2,3,2
132123,2,4,2
132204,3,4,2
132282,3,4,2
132362,4,5,2
132441,4,5,2
132521,4,5,2
132600,4,6,2
132679,4,7,2
132764,4,7,2
132843,4,8,2
132918,3,8,2
132997,3,9,2
133077,3,9,2
133156,3,10,2
133234,3,10,2
133320,3,11,2
133400,2,12,2
133474,2,12,2
133554,2,13,2
133633,2,13,2
133713,2,14,2
133792,2,14,2
133872,2,15,2
133951,2,16,2
134030,2,16,2
134109,2,17,2
134189,2,17,2
134269,2,18,2
134353,2,18,2
134432,2,19,2
134512,2,19,2
134591,2,18,2
134666,1,17,2
134745,1,17,2
134825,2,16,2
134909,2,16,2
134989,2,15,2
135063,2,15,2
135148,2,14,2
135226,2,13,2
135302,2,13,2
135381,2,12,2
